137,single-number-ii,,2,False,只出现一次的数字 II,位运算,,
138,copy-list-with-random-pointer,,2,False,复制带随机指针的链表,哈希表;链表,,
139,word-break,,2,False,单词拆分,动态规划,,
140,word-break-ii,,3,False,单词拆分 II,动态规划;回溯算法,,
141,linked-list-cycle,ac,1,False,环形链表,链表;双指针,51201676,java
142,linked-list-cycle-ii,,2,False,环形链表 II,链表;双指针,,
143,reorder-list,ac,2,False,重排链表,链表,43851684,cpp
144,binary-tree-preorder-traversal,ac,2,False,二叉树的前序遍历,栈;树,54630570,java
145,binary-tree-postorder-traversal,,3,False,二叉树的后序遍历,栈;树,,
146,lru-cache,,2,False,LRU缓存机制,设计,,
147,insertion-sort-list,ac,2,False,对链表进行插入排序,排序;链表,51481214,java
148,sort-list,,2,False,排序链表,排序;链表,,
149,max-points-on-a-line,,3,False,直线上最多的点数,哈希表;数学,,
150,evaluate-reverse-polish-notation,,2,False,逆波兰表达式求值,栈,,
151,reverse-words-in-a-string,,2,False,翻转字符串里的单词,字符串,,
152,maximum-product-subarray,,2,False,乘积最大子数组,数组;动态规划,,
153,find-minimum-in-rotated-sorted-array,ac,2,False,寻找旋转排序数组中的最小值,数组;二分查找,50422808,java
154,find-minimum-in-rotated-sorted-array-ii,,3,False,寻找旋转排序数组中的最小值 II,数组;二分查找,,
155,min-stack,ac,1,False,最小栈,栈;设计,52685151,java
156,binary-tree-upside-down,,2,True,上下翻转二叉树,树,,
157,read-n-characters-given-read4,,1,True,用 Read4 读取 N 个字符,字符串,,
158,read-n-characters-given-read4-ii-call-multiple-times,,3,True,用 Read4 读取 N 个字符 II,字符串,,
159,longest-substring-with-at-most-two-distinct-characters,,2,True,至多包含两个不同字符的最长子串,哈希表;双指针;字符串,,
160,intersection-of-two-linked-lists,,1,False,相交链表,链表,,
161,one-edit-distance,,2,True,相隔为 1 的编辑距离,字符串,,
162,find-peak-element,,2,False,寻找峰值,数组;二分查找,,
163,missing-ranges,,2,True,缺失的区间,数组,,
164,maximum-gap,,3,False,最大间距,排序,,
165,compare-version-numbers,,2,False,比较版本号,字符串,,
166,fraction-to-recurring-decimal,,2,False,分数到小数,哈希表;数学,,
167,two-sum-ii-input-array-is-sorted,,1,False,两数之和 II - 输入有序数组,数组;双指针;二分查找,,
168,excel-sheet-column-title,,1,False,Excel表列名称,数学,,
169,majority-element,,1,False,多数元素,位运算;数组;分治算法,,
170,two-sum-iii-data-structure-design,,1,True,两数之和 III - 数据结构设计,设计;哈希表,,
171,excel-sheet-column-number,,1,False,Excel表列序号,数学,,
172,factorial-trailing-zeroes,,1,False,阶乘后的零,数学,,
173,binary-search-tree-iterator,,2,False,二叉搜索树迭代器,栈;树;设计,,
174,dungeon-game,,3,False,地下城游戏,二分查找;动态规划,,
175,combine-two-tables,,1,False,组合两个表,,,
176,second-highest-salary,,1,False,第二高的薪水,,,
177,nth-highest-salary,,2,False,第N高的薪水,,,
178,rank-scores,,2,False,分数排名,,,
179,largest-number,,2,False,最大数,排序,,
180,consecutive-numbers,,2,False,连续出现的数字,,,
181,employees-earning-more-than-their-managers,,1,False,超过经理收入的员工,,,
182,duplicate-emails,,1,False,查找重复的电子邮箱,,,
183,customers-who-never-order,,1,False,从不订购的客户,,,
184,department-highest-salary,,2,False,部门工资最高的员工,,,
185,department-top-three-salaries,,3,False,部门工资前三高的所有员工,,,
186,reverse-words-in-a-string-ii,,2,True,翻转字符串里的单词 II,字符串,,
187,repeated-dna-sequences,,2,False,重复的DNA序列,位运算;哈希表,,
188,best-time-to-buy-and-sell-stock-iv,,3,False,买卖股票的最佳时机 IV,动态规划,,
189,rotate-array,,1,False,旋转数组,数组,,
190,reverse-bits,,1,False,颠倒二进制位,位运算,,
191,number-of-1-bits,,1,False,位1的个数,位运算,,
192,word-frequency,,2,False,统计词频,,,
193,valid-phone-numbers,,1,False,有效电话号码,,,
194,transpose-file,,2,False,转置文件,,,
195,tenth-line,,1,False,第十行,,,
196,delete-duplicate-emails,,1,False,删除重复的电子邮箱,,,
197,rising-temperature,,1,False,上升的温度,,,
198,house-robber,,1,False,打家劫舍,动态规划,,
199,binary-tree-right-side-view,,2,False,二叉树的右视图,树;深度优先搜索;广度优先搜索,,
200,number-of-islands,ac,2,False,岛屿数量,深度优先搜索;广度优先搜索;并查集,64592236,python3
201,bitwise-and-of-numbers-range,,2,False,数字范围按位与,位运算,,
202,happy-number,,1,False,快乐数,哈希表;数学,,
203,remove-linked-list-elements,,1,False,移除链表元素,链表,,
204,count-primes,,1,False,计数质数,哈希表;数学,,
205,isomorphic-strings,,1,False,同构字符串,哈希表,,
206,reverse-linked-list,,1,False,反转链表,链表,,
207,course-schedule,,2,False,课程表,深度优先搜索;广度优先搜索;图;拓扑排序,,
208,implement-trie-prefix-tree,,2,False,实现 Trie (前缀树),设计;字典树,,
209,minimum-size-subarray-sum,,2,False,长度最小的子数组,数组;双指针;二分查找,,
210,course-schedule-ii,,2,False,课程表 II,深度优先搜索;广度优先搜索;图;拓扑排序,,
211,add-and-search-word-data-structure-design,,2,False,添加与搜索单词 - 数据结构设计,设计;字典树;回溯算法,,
212,word-search-ii,,3,False,单词搜索 II,字典树;回溯算法,,
213,house-robber-ii,,2,False,打家劫舍 II,动态规划,,
214,shortest-palindrome,,3,False,最短回文串,字符串,,
215,kth-largest-element-in-an-array,,2,False,数组中的第K个最大元素,堆;分治算法,,
216,combination-sum-iii,,2,False,组合总和 III,数组;回溯算法,,
217,contains-duplicate,,1,False,存在重复元素,数组;哈希表,,
218,the-skyline-problem,,3,False,天际线问题,堆;树状数组;线段树;分治算法,,
219,contains-duplicate-ii,,1,False,存在重复元素 II,数组;哈希表,,
220,contains-duplicate-iii,,2,False,存在重复元素 III,排序,,
221,maximal-square,,2,False,最大正方形,动态规划,,
222,count-complete-tree-nodes,,2,False,完全二叉树的节点个数,树;二分查找,,
223,rectangle-area,,2,False,矩形面积,数学,,
224,basic-calculator,,3,False,基本计算器,栈;数学,,
225,implement-stack-using-queues,,1,False,用队列实现栈,栈;设计,,
226,invert-binary-tree,ac,1,False,翻转二叉树,树,44197687,cpp
227,basic-calculator-ii,,2,False,基本计算器 II,字符串,,
228,summary-ranges,,2,False,汇总区间,数组,,
229,majority-element-ii,,2,False,求众数 II,数组,,
230,kth-smallest-element-in-a-bst,,2,False,二叉搜索树中第K小的元素,树;二分查找,,
231,power-of-two,,1,False,2的幂,位运算;数学,,
232,implement-queue-using-stacks,ac,1,False,用栈实现队列,栈;设计,52448667,java
233,number-of-digit-one,,3,False,数字 1 的个数,数学,,
234,palindrome-linked-list,,1,False,回文链表,链表;双指针,,
235,lowest-common-ancestor-of-a-binary-search-tree,,1,False,二叉搜索树的最近公共祖先,树,,
236,lowest-common-ancestor-of-a-binary-tree,ac,2,False,二叉树的最近公共祖先,树,55454973,java
237,delete-node-in-a-linked-list,,1,False,删除链表中的节点,链表,,
238,product-of-array-except-self,,2,False,除自身以外数组的乘积,数组,,
239,sliding-window-maximum,,3,False,滑动窗口最大值,堆,,
240,search-a-2d-matrix-ii,,2,False,搜索二维矩阵 II,二分查找;分治算法,,
241,different-ways-to-add-parentheses,,2,False,为运算表达式设计优先级,分治算法,,
242,valid-anagram,ac,1,False,有效的字母异位词,排序;哈希表,60508861,java
243,shortest-word-distance,,1,True,最短单词距离,数组,,
244,shortest-word-distance-ii,,2,True,最短单词距离 II,设计;哈希表,,
245,shortest-word-distance-iii,,2,True,最短单词距离 III,数组,,
246,strobogrammatic-number,,1,True,中心对称数,哈希表;数学,,
247,strobogrammatic-number-ii,,2,True,中心对称数 II,递归;数学,,
248,strobogrammatic-number-iii,,3,True,中心对称数 III,递归;数学,,
249,group-shifted-strings,,2,True,移位字符串分组,哈希表;字符串,,
250,count-univalue-subtrees,,2,True,统计同值子树,树,,
251,flatten-2d-vector,,2,True,展开二维向量,设计,,
252,meeting-rooms,,1,True,会议室,排序,,
253,meeting-rooms-ii,,2,True,会议室 II,堆;贪心算法;排序,,
254,factor-combinations,,2,True,因子的组合,回溯算法,,
255,verify-preorder-sequence-in-binary-search-tree,,2,True,验证前序遍历序列二叉搜索树,栈;树,,
256,paint-house,,1,True,粉刷房子,动态规划,,
257,binary-tree-paths,,1,False,二叉树的所有路径,树;深度优先搜索,,
258,add-digits,,1,False,各位相加,数学,,
259,3sum-smaller,,2,True,较小的三数之和,数组;双指针,,
260,single-number-iii,,2,False,只出现一次的数字 III,位运算,,
261,graph-valid-tree,,2,True,以图判树,深度优先搜索;广度优先搜索;并查集;图,,
262,trips-and-users,,3,False,行程和用户,,,
263,ugly-number,,1,False,丑数,数学,,
264,ugly-number-ii,,2,False,丑数 II,堆;数学;动态规划,,
265,paint-house-ii,,3,True,粉刷房子 II,动态规划,,
266,palindrome-permutation,,1,True,回文排列,哈希表,,
267,palindrome-permutation-ii,,2,True,回文排列 II,回溯算法,,
268,missing-number,,1,False,缺失数字,位运算;数组;数学,,
269,alien-dictionary,,3,True,火星词典,图;拓扑排序,,
270,closest-binary-search-tree-value,,1,True,最接近的二叉搜索树值,树;二分查找,,
271,encode-and-decode-strings,,2,True,字符串的编码与解码,字符串,,
272,closest-binary-search-tree-value-ii,,3,True,最接近的二叉搜索树值 II,栈;树,,
273,integer-to-english-words,,3,False,整数转换英文表示,数学;字符串,,
274,h-index,,2,False,H 指数,排序;哈希表,,
275,h-index-ii,,2,False,H指数 II,二分查找,,
276,paint-fence,,1,True,栅栏涂色,动态规划,,
